method,lsType,momentumDirs,lsInit,lsInterp,nFref,lbfgsSize,ssMethod,ssLS,ssRelStop,ssOneDInit,derivCheck,numDiff,nonOpt
0,6,0,1,1,5,20,0,0,0,0,0,0,0
0,3,1,1,1,5,20,1,0,1,1,0,0,0
0,8,2,1,1,5,20,1,0,1,1,0,0,0
3,1,0,0,1,5,20,0,0,0,0,0,0,0
3,3,1,0,1,5,20,1,0,1,1,0,0,0
3,9,1,0,1,5,20,1,0,1,1,0,0,0
3,10,2,0,1,5,20,1,0,1,1,0,0,0
5,0,0,0,1,5,20,0,0,0,0,0,0,0
5,3,1,0,1,5,20,1,0,1,1,0,0,0
5,9,1,0,1,5,20,1,0,1,1,0,0,0
5,10,2,0,1,5,20,1,0,1,1,0,0,0
